Samp,StructID_noflag,SampType,Pop,1_in_het_introgress,1_h_introgress,2_in_het_introgress,2_h_introgress,3_in_het_introgress,3_h_introgress,class_nh_50,FLB_LMB_stru,ALB_stru,REB_stru,CHB_stru,SHB_stru,Newhyb Run1?,Newhybs1_assign,Newhyb Run2?,Newhybs2_assign,Newhyb Run3?,Newhybs3_assign,No Newhyb?
084_04_CHB,CHB,wildpop,4,,,0.357142857,0.1879158,,,CHB,0,0.01,0,0.95,0.03,,,2,CHB,,,
085_04_CHB,CHB,wildpop,4,,,0.066666667,0.0379356,,,CHB,0,0.01,0,0.99,0,,,2,CHB,,,
086_04_SHB,SHB,wildpop,4,0,0,,,0,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
087_04_SHB,SHB,wildpop,4,0.0625,0,,,0.0625,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
088_04_SHB,SHB,wildpop,4,0.125,0,,,0,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
089_04_SHB,SHB,wildpop,4,0.0625,0,,,0.125,0.0157304,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
090_04_SHB,SHB,wildpop,4,0.125,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
091_04_SHB,SHB,wildpop,4,0.0625,0,,,0.1875,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
092_04_SHB,SHB,wildpop,4,0.2,0,,,0.2,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
093_04_SHB,SHB,wildpop,4,0.0625,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
094_04_SHB,SHB,wildpop,4,0,0,,,0,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
095_04_SHB,SHB,wildpop,4,0.1875,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
096_04_SHB,SHB,wildpop,4,0.0625,0,,,0.0625,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
097_04_SHB,F1 SHB x CHB,wildpop,4,,,,,,,MULTIPLE,0,0,0,0.57,0.43,,,,,,,N
098_04_SHB,SHB,wildpop,4,0,0,,,0.066666667,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
099_04_SHB,SHB,wildpop,4,0.1875,0.0144752,,,0.125,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
100_04_SHB,SHB,wildpop,4,0.133333333,0,,,0.066666667,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
101_05_ALB,ALB,wildpop,5,0.230769231,0.9568208,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
102_05_ALB,ALB,wildpop,5,0.071428571,0.9055801,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
103_05_ALB,ALB,wildpop,5,0,0.9220167,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
104_05_ALB,ALB,wildpop,5,0.142857143,0.9855435,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
105_05_ALB,ALB,wildpop,5,0.2,0.7758561,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
106_05_ALB,ALB,wildpop,5,0.285714286,0.8992902,0.071428571,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
107_05_ALB,ALB,wildpop,5,0.066666667,0.8559284,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
108_05_ALB,ALB,wildpop,5,0.066666667,0.9363419,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
109_05_ALB,ALB,wildpop,5,0.133333333,0.9774775,0.066666667,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
110_05_ALB,ALB,wildpop,5,0.133333333,0.8674631,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
111_05_ALB,ALB,wildpop,5,0.066666667,0.9224763,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
112_05_ALB,ALB,wildpop,5,0.066666667,0.997138,0.125,0.940413,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
113_05_ALB,ALB,wildpop,5,0.0625,1,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
114_05_ALB,ALB,wildpop,5,0.214285714,0.9224164,0.071428571,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
115_05_ALB,ALB,wildpop,5,0.214285714,0.9026992,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
116_05_ALB,ALB,wildpop,5,0.133333333,0.9632209,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
117_05_ALB,ALB,wildpop,5,0.083333333,0.9747868,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
118_05_ALB,ALB,wildpop,5,0.153846154,0.9146974,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
119_05_ALB,ALB,wildpop,5,0.2,0.9614839,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
120_05_ALB,ALB,wildpop,5,0.071428571,0.8799661,0.071428571,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
121_05_ALB,ALB,wildpop,5,0.142857143,0.927851,0.142857143,0.9340301,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
122_05_ALB,ALB,wildpop,5,0.153846154,0.9728417,0.076923077,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
123_05_ALB,ALB,wildpop,5,0.214285714,0.9058844,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
124_05_ALB,ALB,wildpop,5,0.076923077,1,0.076923077,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
125_05_ALB,ALB,wildpop,5,0.142857143,1,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
126_05_ALB,ALB,wildpop,5,0.133333333,0.9928564,0.066666667,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
127_05_ALB,ALB,wildpop,5,0.071428571,0.9090009,0.071428571,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
128_05_ALB,ALB,wildpop,5,0.133333333,0.8643655,0.066666667,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
129_06_ALB,ALB,wildpop,6,0.2,0.9200637,0.066666667,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
130_06_ALB,ALB,wildpop,6,0.133333333,0.8706571,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
131_06_ALB,ALB,wildpop,6,0.142857143,0.7837414,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
132_06_ALB,ALB,wildpop,6,0,0.9126672,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
133_06_ALB,ALB,wildpop,6,0.125,0.9515985,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
134_06_ALB,ALB,wildpop,6,0.142857143,0.9201023,0.071428571,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
135_06_ALB,ALB,wildpop,6,0.133333333,0.9852291,0.066666667,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
136_06_ALB,ALB,wildpop,6,0,0.9171812,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
137_06_ALB,ALB,wildpop,6,0.071428571,0.9925332,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
138_06_ALB,ALB,wildpop,6,0.285714286,0.8936499,0.071428571,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
139_06_ALB,ALB,wildpop,6,0.2,0.7729754,0,0.9059527,,,ALB,0,0.99,0,0,0.01,1,ALB,2,ALB,,,
141_06_ALB,ALB,wildpop,6,0.066666667,0.8423958,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
142_06_ALB,ALB,wildpop,6,0.214285714,0.9088646,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
143_06_ALB,ALB,wildpop,6,0.166666667,0.9696821,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
144_06_ALB,ALB,wildpop,6,0.1875,0.965382,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
145_06_ALB,ALB,wildpop,6,0.142857143,0.9215048,0.071428571,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
146_06_ALB,ALB,wildpop,6,0.066666667,0.8824971,0.066666667,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
147_06_ALB,ALB,wildpop,6,0,0.9421456,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
148_06_ALB,ALB,wildpop,6,0.2,0.930747,0.066666667,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
149_06_ALB,ALB,wildpop,6,0.071428571,0.8766606,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
150_06_ALB,ALB,wildpop,6,0.1875,0.9748548,0.0625,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
151_06_ALB,ALB,wildpop,6,0.142857143,0.9899156,0.071428571,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
152_06_ALB,ALB,wildpop,6,0.133333333,0.9754542,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
153_06_ALB,ALB,wildpop,6,0.133333333,0.9818027,0.066666667,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
154_06_ALB,ALB,wildpop,6,0.266666667,0.9063823,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
155_06_HYB,SHB,wildpop,6,0.125,0,,,0.0625,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
156_06_HYB,SHB,wildpop,6,0.0625,0,,,0.0625,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
157_06_REB,F1 SHB x REB,wildpop,6,,,,,0.642857143,0.4411111,F1 SHB x REB,0,0.01,0.41,0,0.58,,,,,3,F1 SHB x REB,
158_06_REB,F1 SHB x REB,wildpop,6,,,,,0.733333333,0.4131459,F1 SHB x REB,0,0.03,0.39,0,0.57,,,,,3,F1 SHB x REB,
159_06_SHB,SHB,wildpop,6,0.0625,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
160_06_SHB,SHB,wildpop,6,0.2,0,,,0.133333333,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
161_06_SHB,SHB,wildpop,6,0.1875,0.0057653,,,0.0625,0.0172411,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
162_06_SHB,SHB,wildpop,6,0.0625,0,,,0.0625,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
163_06_SHB,SHB,wildpop,6,0.1875,0,,,0.25,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
164_06_SHB,SHB,wildpop,6,0.1875,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
165_07_ALB,ALB,wildpop,7,0.071428571,0.9898432,0.071428571,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
166_07_ALB,ALB,wildpop,7,0.071428571,0.9834122,0.071428571,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
167_07_ALB,ALB,wildpop,7,0.066666667,0.996231,0.066666667,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
168_07_ALB,ALB,wildpop,7,0.071428571,1,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
169_07_ALB,ALB,wildpop,7,0.133333333,1,0.066666667,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
170_07_ALB,ALB,wildpop,7,0.066666667,0.9918768,0,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
171_07_ALB,ALB,wildpop,7,0.066666667,0.8970732,0.066666667,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
172_07_REB,F1 SHB x REB,wildpop,7,,,,,0.4,0.4013968,F1 SHB x REB,0,0,0.36,0,0.63,,,,,3,F1 SHB x REB,
173_07_SHB,SHB,wildpop,7,0.125,0,,,0,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
174_07_SHB,SHB,wildpop,7,0.133333333,0,,,0.1875,0.0525159,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
175_07_SHB,SHB,wildpop,7,0,0,,,0,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
176_07_SHB,SHB,wildpop,7,0.133333333,0.0145423,,,0.066666667,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
177_07_SHB,SHB,wildpop,7,0.125,0,,,0,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
178_07_SHB,SHB,wildpop,7,0.0625,0,,,0.0625,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
179_07_SHB,SHB,wildpop,7,0.125,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
180_07_SHB,SHB,wildpop,7,0.066666667,0,,,0.1875,0.0440702,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
181_07_SHB,SHB,wildpop,7,0.0625,0,,,0.25,0.0257127,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
182_07_SHB,SHB,wildpop,7,0.0625,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
183_07_SHB,SHB,wildpop,7,0.0625,0,,,0.1875,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
184_07_SHB,SHB,wildpop,7,0.1875,0,,,0.25,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
185_07_SHB,SHB,wildpop,7,0.1875,0,,,0.0625,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
186_07_SHB,SHB,wildpop,7,0,0,,,0.125,0.0195684,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
187_07_SHB,SHB,wildpop,7,0,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
188_07_SHB,SHB,wildpop,7,0,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
189_07_SHB,SHB,wildpop,7,0.0625,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
190_07_SHB,BC SHB x ALB,wildpop,7,0.25,0.2131832,,,,,BC SHB x ALB,0,0.18,0,0,0.81,1,BC SHB x ALB,,,,,
191_08_ALB,ALB,wildpop,8,0.066666667,0.9164281,0.066666667,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
192_08_ALB,ALB,wildpop,8,0.142857143,0.9865916,0.142857143,1,,,ALB,0,0.99,0,0,0,1,ALB,2,ALB,,,
193_08_ALB,ALB,wildpop,8,0.133333333,0.97352,0,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
194_08_ALB,BC ALB x SHB,wildpop,8,0.25,0.7488615,,,,,ALB,0,0.89,0,0,0.11,1,ALB,,,,,
195_08_ALB,ALB,wildpop,8,0,0.9323591,0.071428571,1,,,ALB,0,1,0,0,0,1,ALB,2,ALB,,,
196_08_HYB,SHB,wildpop,8,0.0625,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
197_08_HYB,SHB,wildpop,8,0.25,0,,,0.1875,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
198_08_HYB,ALB x Multiple,wildpop,8,,,,,,,MULTIPLE,0,0.49,0,0.39,0.11,,,,,,,N
199_08_HYB,SHB,wildpop,8,0.125,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
200_08_HYB,SHB,wildpop,8,0.133333333,0,,,0.2,0.022203,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
201_08_SHB,SHB x Multiple,wildpop,8,,,,,,,MULTIPLE,0,0,0.11,0.14,0.75,,,,,,,N
202_08_SHB,SHB,wildpop,8,0.125,0,,,0.0625,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
203_08_SHB,SHB,wildpop,8,0.125,0,,,0.0625,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
204_08_SHB,SHB,wildpop,8,0.0625,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
205_08_SHB,SHB,wildpop,8,0.125,0.0088822,,,0.125,0.0256179,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
206_08_SHB,SHB,wildpop,8,0.125,0,,,0.125,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
207_08_SHB,SHB,wildpop,8,0.0625,0,,,0.1875,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
208_08_SHB,SHB,wildpop,8,0.125,0,,,0.1875,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
209_08_SHB,SHB,wildpop,8,0,0,,,0.133333333,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
210_08_SHB,SHB,wildpop,8,0.125,0,,,0.1875,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
211_08_SHB,SHB,wildpop,8,0,0,,,0.0625,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
212_08_SHB,SHB,wildpop,8,0.066666667,0,,,0.1875,0.0480422,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
213_08_SHB,SHB,wildpop,8,0.133333333,0,,,0.0625,0.0962583,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
214_08_SHB,SHB,wildpop,8,0.125,0.0113349,,,0.0625,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
215_08_SHB,SHB,wildpop,8,0.066666667,0,,,0.133333333,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
216_08_SHB,SHB,wildpop,8,0,0,,,0,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
217_08_SHB,SHB,wildpop,8,0.125,0,,,0.125,0,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
218_08_SHB,SHB,wildpop,8,0.133333333,0,,,0.133333333,0.0719332,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
219_08_SHB,SHB,wildpop,8,0.133333333,0,,,0.125,0.0504311,SHB,0,0,0,0,0.99,1,SHB,,,3,SHB,
220_08_SHB,SHB,wildpop,8,0.125,0.0179217,,,0.0625,0,SHB,0,0.01,0,0,0.99,1,SHB,,,3,SHB,
221_08_SHB,F1 SHB x REB,wildpop,8,,,,,0.428571429,0.2817471,F1 SHB x REB,0,0,0.22,0.08,0.7,,,,,3,F1 SHB x REB,
222_08_SHB,F1 SHB x REB,wildpop,8,,,,,0.466666667,0.3483135,F1 SHB x REB,0,0,0.28,0.01,0.71,,,,,3,F1 SHB x REB,
224_08_SHB,SHB,wildpop,8,0.0625,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,
225_08_SHB,SHB,wildpop,8,0.0625,0,,,0.125,0,SHB,0,0,0,0,1,1,SHB,,,3,SHB,